Time,FCC.TIC1303.PV.csv,FCC.PI1301.PV.csv,FCC.FIC1311.PV.csv,FCC.TIC1402.PV.csv,FCC.TIC1402-1.PV.csv,FCC.FI1400.PV.csv,FCC.FIC1402-1.PV.csv,FCC.FVC1402.PV.csv,FCC.TI1419.PV.csv,FCC.LIC1404.PV.csv,FCC.TI1418.PV.csv,FCC.PDI1414.PV.csv,wdqy
2021/1/29 7:00,0,0,0,0,0,0,0,0,0,0,0,0,197.5
2021/1/29 17:00,0,0,0,0,0,0,0,0,0,0,0,0,197.5
2021/1/30 7:00,129.956,0.1940304,0,170.1862,170.1505,0.3293586,85.12185,84.91455,163.751,45.73594,163.8011,0,198.5
2021/1/30 17:00,130.2536,0.1948589,0,170.1862,170.1791,0,85.0751,84.83604,0,48.10208,163.751,110.1615,198.5
2021/1/31 7:00,0,0,0,0,0,0,0,0,0,0,0,0,197
2021/1/31 17:00,0,0,0,0,0,0,0,0,0,0,0,0,198
2021/2/1 7:00,130.0284,0.1933509,0,169.0275,0,0,85.0582,85.03721,162.6235,48.1912,162.7989,0,200
2021/2/1 17:00,130.2634,0.1935357,0,168.1835,168.1692,0,86.06213,86.01586,161.9721,47.74446,161.6965,0,200
2021/2/2 7:00,0,0,0,0,0,0,0,0,0,0,0,0,197
2021/2/2 17:00,0,0,0,0,0,0,0,0,0,0,0,0,197
2021/2/3 7:00,129.1008,0.194537,0,166.803,166.8245,0.3293586,84.85121,84.86839,160.6942,47.87614,160.4437,110.1663,200
2021/2/3 17:00,131.8884,0.1934045,0,170.551,170.5582,0,85.79438,85.91217,164.202,48.06602,163.9514,110.1568,201.5
2021/2/4 17:00,0,0,0,0,0,0,0,0,0,0,0,0,197
2021/2/5 7:00,128.6319,0.1924449,0,168.6556,168.6842,0,83.11409,83.09406,162.8991,47.86628,162.6987,110.1639,202
2021/2/5 17:00,127.6297,0.1926535,0,168.4482,168.4124,0.3293586,80.81529,80.80335,162.6737,49.31377,162.4982,0,201
2021/2/6 7:00,0,0,0,0,0,0,0,0,0,0,0,0,197.5
2021/2/6 17:00,0,0,0,0,0,0,0,0,0,0,0,0,197
2021/2/7 7:00,129.3851,0.1934403,0,168.5626,168.4338,0,77.7943,77.86116,162.5233,47.02117,162.4982,0,207
2021/2/7 17:00,127.0221,0.192737,0,168.1477,168.1549,0.3464343,76.8353,76.91171,162.2477,47.89726,0,110.1592,200
2021/2/8 7:00,0,0,0,0,0,0,0,0,0,0,0,0,204.5
2021/2/8 17:00,0,0,0,0,0,0,0,0,0,0,0,0,199.5
2021/2/9 7:00,126.5156,0.1933032,0,168.6484,168.6627,0.3113478,79.91309,79.91357,163.0494,47.19203,162.849,0,198.5
