tag,collect_time,value,org_code
FCC.1LUSHUI.PH,2020-06-12 07:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-06-12 17:00:00,9.6,440100010001001
FCC.1LUSHUI.PH,2020-06-13 07:00:00,10.1,440100010001001
FCC.1LUSHUI.PH,2020-06-13 17:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-06-14 07:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-06-14 17:00:00,9.9,440100010001001
FCC.1LUSHUI.PH,2020-06-15 07:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-06-15 17:00:00,9.6,440100010001001
FCC.1LUSHUI.PH,2020-06-16 07:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-06-16 17:00:00,10.1,440100010001001
FCC.1LUSHUI.PH,2020-06-17 07:00:00,10.1,440100010001001
FCC.1LUSHUI.PH,2020-06-17 17:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-06-18 07:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-06-18 17:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-06-19 07:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-06-19 17:00:00,9.6,440100010001001
FCC.1LUSHUI.PH,2020-06-20 07:00:00,9.6,440100010001001
FCC.1LUSHUI.PH,2020-06-20 17:00:00,9.2,440100010001001
FCC.1LUSHUI.PH,2020-06-21 07:00:00,9.5,440100010001001
FCC.1LUSHUI.PH,2020-06-21 17:00:00,9.5,440100010001001
FCC.1LUSHUI.PH,2020-06-22 07:00:00,9.5,440100010001001
FCC.1LUSHUI.PH,2020-06-22 17:00:00,9.6,440100010001001
FCC.1LUSHUI.PH,2020-06-23 07:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-06-23 17:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-06-24 07:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-06-24 17:00:00,9.5,440100010001001
FCC.1LUSHUI.PH,2020-06-25 07:00:00,9.4,440100010001001
FCC.1LUSHUI.PH,2020-06-25 17:00:00,9.4,440100010001001
FCC.1LUSHUI.PH,2020-06-26 07:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-06-26 17:00:00,9.6,440100010001001
FCC.1LUSHUI.PH,2020-06-27 07:00:00,9.9,440100010001001
FCC.1LUSHUI.PH,2020-06-27 17:00:00,9.6,440100010001001
FCC.1LUSHUI.PH,2020-06-28 07:00:00,9.6,440100010001001
FCC.1LUSHUI.PH,2020-06-28 17:00:00,9.4,440100010001001
FCC.1LUSHUI.PH,2020-06-29 07:00:00,9.3,440100010001001
FCC.1LUSHUI.PH,2020-06-29 21:00:00,8.5,440100010001001
FCC.1LUSHUI.PH,2020-06-30 07:00:00,9.9,440100010001001
FCC.1LUSHUI.PH,2020-06-30 17:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-07-01 07:00:00,9.5,440100010001001
FCC.1LUSHUI.PH,2020-07-01 17:00:00,9.6,440100010001001
FCC.1LUSHUI.PH,2020-07-02 07:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-07-02 17:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-07-03 07:00:00,9.9,440100010001001
FCC.1LUSHUI.PH,2020-07-03 17:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-07-04 07:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-07-04 17:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-07-05 07:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-07-05 17:00:00,9.9,440100010001001
FCC.1LUSHUI.PH,2020-07-06 07:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-07-06 17:00:00,9.9,440100010001001
FCC.1LUSHUI.PH,2020-07-07 07:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-07-07 17:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-07-08 07:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-07-08 17:00:00,9.6,440100010001001
FCC.1LUSHUI.PH,2020-07-09 07:00:00,9.9,440100010001001
FCC.1LUSHUI.PH,2020-07-09 17:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-07-10 07:00:00,9.9,440100010001001
FCC.1LUSHUI.PH,2020-07-10 17:00:00,9.6,440100010001001
FCC.1LUSHUI.PH,2020-07-11 07:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-07-11 17:00:00,9.6,440100010001001
FCC.1LUSHUI.PH,2020-07-12 07:00:00,9.5,440100010001001
FCC.1LUSHUI.PH,2020-07-12 17:00:00,9,440100010001001
FCC.1LUSHUI.PH,2020-07-13 07:00:00,8.4,440100010001001
FCC.1LUSHUI.PH,2020-07-13 17:00:00,10.6,440100010001001
FCC.1LUSHUI.PH,2020-07-14 07:00:00,10.9,440100010001001
FCC.1LUSHUI.PH,2020-07-14 17:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-07-15 07:00:00,10.3,440100010001001
FCC.1LUSHUI.PH,2020-07-15 17:00:00,10.2,440100010001001
FCC.1LUSHUI.PH,2020-07-16 07:00:00,9.6,440100010001001
FCC.1LUSHUI.PH,2020-07-16 17:00:00,9.6,440100010001001
FCC.1LUSHUI.PH,2020-07-17 07:00:00,10.2,440100010001001
FCC.1LUSHUI.PH,2020-07-17 17:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-07-18 07:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-07-18 17:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-07-19 07:00:00,10.2,440100010001001
FCC.1LUSHUI.PH,2020-07-19 17:00:00,9.6,440100010001001
FCC.1LUSHUI.PH,2020-07-20 07:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-07-20 17:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-07-21 07:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-07-21 17:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-07-22 07:00:00,10.5,440100010001001
FCC.1LUSHUI.PH,2020-07-22 17:00:00,10.3,440100010001001
FCC.1LUSHUI.PH,2020-07-23 07:00:00,10.1,440100010001001
FCC.1LUSHUI.PH,2020-07-23 17:00:00,9.9,440100010001001
FCC.1LUSHUI.PH,2020-07-24 07:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-07-24 17:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-07-25 07:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-07-25 17:00:00,9.9,440100010001001
FCC.1LUSHUI.PH,2020-07-26 07:00:00,10.7,440100010001001
FCC.1LUSHUI.PH,2020-07-26 17:00:00,10.4,440100010001001
FCC.1LUSHUI.PH,2020-07-27 07:00:00,10.5,440100010001001
FCC.1LUSHUI.PH,2020-07-27 17:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-07-28 07:00:00,10.7,440100010001001
