序号,Name,TagNo,仪表描述,单位,量程上限,量程下限,SourceTag,CollectorName
53,HLU1_FIC3410_PV,,0.35MPa蒸汽去F3201流量调节(与PIC3407串级的付回路),TONNE/HR,3.9,0,FIC3410.PV,RDI_HLU1
54,HLU1_FICQ3101_PV,,D3101入口流量调节(与LIC3410串级的付回路),TONNE/HR,300,0,FICQ3101.PV,RDI_HLU1
55,HLU1_FICQ3147_PV,,化工氢气进装置流量指示测量累积,TONNE,35000,0,FICQ3147.PV,RDI_HLU1
56,HLU1_FICQ3219_PV,,航煤出装置流量控制,TONNE/HR,50,0,FICQ3219.PV,RDI_HLU1
57,HLU1_FICQ3220_PV,,柴油出装置流量控制,TONNE/HR,70,0,FICQ3220.PV,RDI_HLU1
58,HLU1_FIQ1007_PV,,40000Nm3/小时制氢单元循环冷水进装置,TONNE,99999999,0,FIQ1007.PV,RDI_HLU1
59,HLU1_FIQ1008_PV,,40000Nm3/小时制氢单元循环热水出装置,TONNE,99999999,0,FIQ1008.PV,RDI_HLU1
60,HLU1_FIQ3102_PV,,反冲洗油出装置流量测量,TONNE/HR,200,-20,FIQ3102.PV,RDI_HLU1
61,HLU1_FIQ3107_PV,,F3101燃料气流量,NM3/HR,2000,0,FIQ3107.PV,RDI_HLU1
62,HLU1_FIQ3121_PV,,120万吨/年加氢裂化除盐水进装置,TONNE,99999999,0,FIQ3121.PV,RDI_HLU1
63,HLU1_FIQ3122_PV,,120万吨/年加氢裂化凝结水出装置,TONNE,99999999,0,FIQ3122.PV,RDI_HLU1
64,HLU1_FIQ3124_PV,,120万吨/年加氢裂化含硫污水出装置,TONNE/HR,99999999,0,FIQ3124.PV,RDI_HLU1
65,HLU1_FIQ3125_PV,,D3106顶出口流量测量,NM3/HR,8000,0,FIQ3125.PV,RDI_HLU1
66,HLU1_FIQ3130_PV,,反应系统补充氢气量,NM3/HR,56000,0,FIQ3130.PV,RDI_HLU1
67,HLU1_FIQ3131_PV,,D3109入口氢气流量指示,NM3/HR,80000,0,FIQ3131.PV,RDI_HLU1
68,HLU1_FIQ3146_PV,,氢气出装置流量指示,NM3/HR,30000,0,FIQ3146.PV,RDI_HLU1
69,HLU1_FIQ3205_PV,,D3201顶放火炬流量指示,NM3/HR,5000,0,FIQ3205.PV,RDI_HLU1
70,HLU1_FIQ3222_PV,,尾油出装置流量指示,TONNE/HR,90,0,FIQ3222.PV,RDI_HLU1
71,HLU1_FIQ3227_PV,,轻石脑油出装置流量指示,TONNE/HR,99,-1,FIQ3227.PV,RDI_HLU1
72,HLU1_FIQ3228_PV,,轻石脑油出装置流量,TONNE/HR,70,0,FIQ3228.PV,RDI_HLU1
73,HLU1_FIQ3242_PV,,,,99999,-99,FIQ3242.PV,RDI_HLU1
74,HLU1_FIQ3250_PV,,不合格尾油流量累积,TONNE/HR,100,-10,FIQ3250.PV,RDI_HLU1
75,HLU1_FIQ3301_PV,,蒸汽发生器给水流量测量,TONNE/HR,22,0,FIQ3301.PV,RDI_HLU1
76,HLU1_FIQ3302_PV,,D3301出口蒸汽流量测量,TONNE/HR,10,0,FIQ3302.PV,RDI_HLU1
77,HLU1_FIQ3401_PV,,污油泵P3401出口流量指示累积,TONNE/HR,57,0,FIQ3401.PV,RDI_HLU1
78,HLU1_FIQ3402_PV,,120万吨/年加氢裂化低压氮气进装置,NM3,1000000,0,FIQ3402.PV,RDI_HLU1
79,HLU1_FIQ3403_PV,,120万吨/年加氢裂化高压氮气,NM3,1000000,0,FIQ3403.PV,RDI_HLU1
80,HLU1_FIQ3404_PV,,120万吨/年加氢裂化净化风进装置,NM3,1000000,0,FIQ3404.PV,RDI_HLU1
81,HLU1_FIQ3405_PV,,120万吨/年加氢裂化非净化风进装置,NM3,1000000,0,FIQ3405.PV,RDI_HLU1
82,HLU1_FIQ3406_PV,,120万吨/年加氢裂化管网来燃料气,NM3,1000000,0,FIQ3406.PV,RDI_HLU1
83,HLU1_FIQ3407_PV,,D3408出口燃料气流量指示累积,NM3/HR,4900,0,FIQ3407.PV,RDI_HLU1
84,HLU1_FIQ3408_PV,,120万吨/年加氢裂化透平用中压3.6MPa蒸汽,TONNE,99999999,0,FIQ3408.PV,RDI_HLU1
85,HLU1_FIQ3409_PV,,D3408出口1.0MPa蒸汽流量指示累积,TONNE/HR,56,0,FIQ3409.PV,RDI_HLU1
86,HLU1_FIQ3411_PV,,120万吨/年加氢裂化1.0MPa蒸汽进装置,TONNE,99999999,0,FIQ3411.PV,RDI_HLU1
87,HLU1_FIQ3412_PV,,D3404蒸汽出口流量指示累积,TONNE/HR,8.9,0,FIQ3412.PV,RDI_HLU1
88,HLU1_FIQ3415_PV,,120万吨/年加氢裂化采暖热水进装置,TONNE,99999999,0,FIQ3415.PV,RDI_HLU1
89,HLU1_FIQ3416_PV,,120万吨/年加氢裂化循环热水出装置,TONNE,99999999,0,FIQ3416.PV,RDI_HLU1
90,HLU1_FIQ3417_PV,,120万吨/年加氢裂化除盐水总管进装置,TONNE,99999999,0,FIQ3417.PV,RDI_HLU1
91,HLU1_FIQ3418_PV,,120万吨/年加氢裂化低压燃料气进装置,NM3,1000000,0,FIQ3418.PV,RDI_HLU1
92,HLU1_FIQ3419_PV,,120万吨/年加氢裂化循环冷水进装置,TONNE,99999999,0,FIQ3419.PV,RDI_HLU1
93,HLU1_FIQ3425_PV,,120万吨/年加氢裂化氮气进装置,NM3,1000000,0,FIQ3425.PV,RDI_HLU1
94,HLU1_FY3243_PV,,,,200,-10,FY3243.PV,RDI_HLU1
95,HLU1_LDICA3242_PV,,M-3201液位,%,99999,-99,LDICA3242.PV,RDI_HLU1
96,HLU1_LI3107_PV,,D3103液位指示,%,1000,0,LI3107.PV,RDI_HLU1
97,HLU1_LI3113_PV,,D3105液位指示,%,100,0,LI3113.PV,RDI_HLU1
98,HLU1_LI3115_PV,,D3105液位指示,%,100,-10,LI3115.PV,RDI_HLU1
99,HLU1_LI3120_PV,,D3107液位指示,%,200,-20,LI3120.PV,RDI_HLU1
100,HLU1_LI3121_PV,,D3109液位指示,%,200,-20,LI3121.PV,RDI_HLU1
101,HLU1_LI3241A_PV,,,,99999,-99,LIA3241A.PV,RDI_HLU1
102,HLU1_LI3306_PV,,D3303液位指示,%,100,0,LI3306.PV,RDI_HLU1
103,HLU1_LI3401_PV,,D3401液位指示,%,100,-10,LI3401.PV,RDI_HLU1
104,HLU1_LI3403_PV,,D3402液位指示,%,100,0,LI3403.PV,RDI_HLU1
105,HLU1_LI3404_PV,,D3409液位指示,%,100,-20,LI3404.PV,RDI_HLU1
106,HLU1_LIC3101_PV,,D3101液位调节,%,100,0,LIC3101.PV,RDI_HLU1
107,HLU1_LIC3105_PV,,D3102液位调节,%,100,0,LIC3105.PV,RDI_HLU1
108,HLU1_LIC3108_PV,,D-3103液位控制,%,100,0,LIC3108.PV,RDI_HLU1
109,HLU1_LIC3110_PV,,D3104液位控制,%,100,0,LIC3110.PV,RDI_HLU1
110,HLU1_LIC3111_PV,,D3108液位控制,%,100,0,LIC3111.PV,RDI_HLU1
111,HLU1_LIC3114_PV,,D3105液位控制,%,100,0,LIC3114.PV,RDI_HLU1
112,HLU1_LIC3116_PV,,D3105界位位控制,%,100,0,LIC3116.PV,RDI_HLU1
