序号,Name,TagNo,仪表描述,单位,量程上限,量程下限,SourceTag,CollectorName
245,HLU1_THC3143C_PV,,,,99999,-99,TV3143AC.MV,RDI_HLU1
246,HLU1_THC3143D_PV,,,,99999,-99,TV3143AD.MV,RDI_HLU1
247,HLU1_THC3143E_PV,,,,99999,-99,TV3143AE.MV,RDI_HLU1
248,HLU1_THC3143F_PV,,,,99999,-99,TV3143AF.MV,RDI_HLU1
249,HLU1_THC3143G_PV,,,,99999,-99,TV3143AG.MV,RDI_HLU1
250,HLU1_THC3143H_PV,,,,99999,-99,TV3143AH.MV,RDI_HLU1
251,HLU1_TI3101_PV,,D3101入口温度指示,DEGC,200,0,TI3101.PV,RDI_HLU1
252,HLU1_TI3102_PV,,D3101出口温度指示,DEGC,200,0,TI3102.PV,RDI_HLU1
253,HLU1_TI3103_PV,,E3100出口温度指示,DEGC,200,0,TI3103.PV,RDI_HLU1
254,HLU1_TI3104_PV,,E3112出口温度指示,DEGC,200,0,TI3104.PV,RDI_HLU1
255,HLU1_TI3105_PV,,E3100出口温度指示,DEGC,200,0,TI3105.PV,RDI_HLU1
256,HLU1_TI3106_PV,,E3100出口温度指示,DEGC,200,0,TI3106.PV,RDI_HLU1
257,HLU1_TI3107_PV,,E3212壳程入口温度,DEGC,400,0,TI3107.PV,RDI_HLU1
258,HLU1_TI3108_PV,,E3112出口温度指示,DEGC,200,0,TI3108.PV,RDI_HLU1
259,HLU1_TI3110W_PV,,E3101出口温度指示,DEGC,500,0,TI3110W.PV,RDI_HLU1
260,HLU1_TI3111_PV,,E3101出口温度指示,DEGC,600,0,TI3111.PV,RDI_HLU1
261,HLU1_TI3112_PV,,E3101入口温度指示,DEGC,600,0,TI3112.PV,RDI_HLU1
262,HLU1_TI3113_PV,,E3101入口温度指示,DEGC,300,0,TI3113.PV,RDI_HLU1
263,HLU1_TI3114_PV,,F-3101入口温度指示,DEGC,600,0,TI3114.PV,RDI_HLU1
264,HLU1_TI3115W_PV,,F3101出口温度指示,DEGC,600,0,TI3115W.PV,RDI_HLU1
265,HLU1_TI3116W_PV,,F3101出口温度指示,DEGC,600,0,TI3116W.PV,RDI_HLU1
266,HLU1_TI3117_PV,,F3101出口温度指示,DEGC,600,0,TI3117.PV,RDI_HLU1
267,HLU1_TI3118_PV,,R3101入口温度指示,DEGC,600,0,TI3118.PV,RDI_HLU1
268,HLU1_TI3119A_PV,,R3101温度指示,DEGC,600,0,TI3119A.PV,RDI_HLU1
269,HLU1_TI3119B_PV,,R3101温度指示,DEGC,600,0,TI3119B.PV,RDI_HLU1
270,HLU1_TI3119C_PV,,R3101温度指示,DEGC,600,0,TI3119C.PV,RDI_HLU1
271,HLU1_TI3119D_PV,,R3101温度指示,DEGC,600,0,TI3119D.PV,RDI_HLU1
272,HLU1_TI3120A_PV,,R3101二床层入口温度,DEGC,600,0,TI3120A.PV,RDI_HLU1
273,HLU1_TI3120B_PV,,R3101二床层入口温度,DEGC,600,0,TI3120B.PV,RDI_HLU1
274,HLU1_TI3120C_PV,,R3101二床层入口温度,DEGC,600,0,TI3120C.PV,RDI_HLU1
275,HLU1_TI3120D_PV,,R3101二床层入口温度,DEGC,600,0,TI3120D.PV,RDI_HLU1
276,HLU1_TI3121A_PV,,R3101二床层入口温度,DEGC,600,0,TI3121A.PV,RDI_HLU1
277,HLU1_TI3121AW_PV,,R3101温度指示,DEGC,600,0,TI3121AW.PV,RDI_HLU1
278,HLU1_TI3121B_PV,,R3101二床层入口温度,DEGC,600,0,TI3121B.PV,RDI_HLU1
279,HLU1_TI3121BW_PV,,R3101温度指示,DEGC,600,0,TI3121BW.PV,RDI_HLU1
280,HLU1_TI3121C_PV,,R3101二床层入口温度,DEGC,600,0,TI3121C.PV,RDI_HLU1
281,HLU1_TI3121CW_PV,,R3101温度指示,DEGC,600,0,TI3121CW.PV,RDI_HLU1
282,HLU1_TI3121D_PV,,R3101二床层入口温度,DEGC,600,0,TI3121D.PV,RDI_HLU1
283,HLU1_TI3121DW_PV,,R3101温度指示,DEGC,600,0,TI3121DW.PV,RDI_HLU1
284,HLU1_TI3122_PV,,（TI3122A、B、C、D高选）,DEGC,600,0,TI3122.PV,RDI_HLU1
285,HLU1_TI3122A_PV,,R3101温度指示,DEGC,600,0,TI3122A.PV,RDI_HLU1
286,HLU1_TI3122B_PV,,R3101温度指示,DEGC,600,0,TI3122B.PV,RDI_HLU1
287,HLU1_TI3122C_PV,,R3101温度指示,DEGC,600,0,TI3122C.PV,RDI_HLU1
288,HLU1_TI3122D_PV,,R3101温度指示,DEGC,600,0,TI3122D.PV,RDI_HLU1
289,HLU1_TI3123A_PV,,R3101温度指示,DEGC,600,0,TI3123A.PV,RDI_HLU1
290,HLU1_TI3123B_PV,,R3101温度指示,DEGC,600,0,TI3123B.PV,RDI_HLU1
291,HLU1_TI3123C_PV,,R3101温度指示,DEGC,600,0,TI3123C.PV,RDI_HLU1
292,HLU1_TI3123D_PV,,R3101温度指示,DEGC,600,0,TI3123D.PV,RDI_HLU1
293,HLU1_TI3124_PV,,R3101出口温度指示,DEGC,600,0,TI3124.PV,RDI_HLU1
294,HLU1_TI3125A_PV,,R3102一床层入口温度,DEGC,600,0,TI3125A.PV,RDI_HLU1
295,HLU1_TI3125AW_PV,,R3102温度指示,DEGC,600,0,TI3125AW.PV,RDI_HLU1
296,HLU1_TI3125B_PV,,R3102一床层入口温度,DEGC,600,0,TI3125B.PV,RDI_HLU1
297,HLU1_TI3125BW_PV,,R3102温度指示,DEGC,600,0,TI3125BW.PV,RDI_HLU1
298,HLU1_TI3125C_PV,,R3102一床层入口温度,DEGC,600,0,TI3125C.PV,RDI_HLU1
299,HLU1_TI3125CW_PV,,R3102温度指示,DEGC,600,0,TI3125CW.PV,RDI_HLU1
300,HLU1_TI3125D_PV,,R3102一床层入口温度,DEGC,600,0,TI3125D.PV,RDI_HLU1
301,HLU1_TI3125DW_PV,,R3102温度指示,DEGC,600,0,TI3125DW.PV,RDI_HLU1
302,HLU1_TI3126A_PV,,R3102温度指示,DEGC,600,0,TI3126A.PV,RDI_HLU1
303,HLU1_TI3126B_PV,,R3102温度指示,DEGC,600,0,TI3126B.PV,RDI_HLU1
304,HLU1_TI3126C_PV,,R3102温度指示,DEGC,600,0,TI3126C.PV,RDI_HLU1
305,HLU1_TI3126D_PV,,R3102温度指示,DEGC,600,0,TI3126D.PV,RDI_HLU1
306,HLU1_TI3127A_PV,,R3102二床层入口温度,DEGC,600,0,TI3127A.PV,RDI_HLU1
307,HLU1_TI3127AW_PV,,R3102温度指示,DEGC,600,0,TI3127AW.PV,RDI_HLU1
308,HLU1_TI3127B_PV,,R3102二床层入口温度,DEGC,600,0,TI3127B.PV,RDI_HLU1
309,HLU1_TI3127BW_PV,,R3102温度指示,DEGC,600,0,TI3127BW.PV,RDI_HLU1
310,HLU1_TI3127C_PV,,R3102二床层入口温度,DEGC,600,0,TI3127C.PV,RDI_HLU1
311,HLU1_TI3127CW_PV,,R3102温度指示,DEGC,600,0,TI3127CW.PV,RDI_HLU1
312,HLU1_TI3127D_PV,,R3102二床层入口温度,DEGC,600,0,TI3127D.PV,RDI_HLU1
313,HLU1_TI3127DW_PV,,R3102温度指示,DEGC,600,0,TI3127DW.PV,RDI_HLU1
314,HLU1_TI3128A_PV,,R3102温度指示,DEGC,600,0,TI3128A.PV,RDI_HLU1
315,HLU1_TI3128B_PV,,R3102温度指示,DEGC,600,0,TI3128B.PV,RDI_HLU1
316,HLU1_TI3128C_PV,,R3102温度指示,DEGC,600,0,TI3128C.PV,RDI_HLU1
317,HLU1_TI3128D_PV,,R3102温度指示,DEGC,600,0,TI3128D.PV,RDI_HLU1
318,HLU1_TI3129A_PV,,R3102三床层入口温度,DEGC,600,0,TI3129A.PV,RDI_HLU1
319,HLU1_TI3129AW_PV,,R3102温度指示,DEGC,600,0,TI3129AW.PV,RDI_HLU1
320,HLU1_TI3129B_PV,,R3102三床层入口温度,DEGC,600,0,TI3129B.PV,RDI_HLU1
321,HLU1_TI3129BW_PV,,R3102温度指示,DEGC,600,0,TI3129BW.PV,RDI_HLU1
322,HLU1_TI3129C_PV,,R3102三床层入口温度,DEGC,600,0,TI3129C.PV,RDI_HLU1
323,HLU1_TI3129CW_PV,,R3102温度指示,DEGC,600,0,TI3129CW.PV,RDI_HLU1
324,HLU1_TI3129D_PV,,R3102三床层入口温度,DEGC,600,0,TI3129D.PV,RDI_HLU1
325,HLU1_TI3129DW_PV,,R3102温度指示,DEGC,600,0,TI3129DW.PV,RDI_HLU1
326,HLU1_TI3130A_PV,,R3102温度指示,DEGC,600,0,TI3130A.PV,RDI_HLU1
327,HLU1_TI3130B_PV,,R3102温度指示,DEGC,600,0,TI3130B.PV,RDI_HLU1
328,HLU1_TI3130C_PV,,R3102温度指示,DEGC,600,0,TI3130C.PV,RDI_HLU1
329,HLU1_TI3130D_PV,,R3102温度指示,DEGC,600,0,TI3130D.PV,RDI_HLU1
330,HLU1_TI3131A_PV,,R3102四床层入口温度,DEGC,600,0,TI3131A.PV,RDI_HLU1
331,HLU1_TI3131AW_PV,,R3102温度指示,DEGC,600,0,TI3131AW.PV,RDI_HLU1
332,HLU1_TI3131B_PV,,R3102四床层入口温度,DEGC,600,0,TI3131B.PV,RDI_HLU1
333,HLU1_TI3131BW_PV,,R3102温度指示,DEGC,600,0,TI3131BW.PV,RDI_HLU1
334,HLU1_TI3131C_PV,,R3102四床层入口温度,DEGC,600,0,TI3131C.PV,RDI_HLU1
335,HLU1_TI3131CW_PV,,R3102温度指示,DEGC,600,0,TI3131CW.PV,RDI_HLU1
336,HLU1_TI3131D_PV,,R3102四床层入口温度,DEGC,600,0,TI3131D.PV,RDI_HLU1
337,HLU1_TI3131DW_PV,,R3102温度指示,DEGC,600,0,TI3131DW.PV,RDI_HLU1
338,HLU1_TI3132A_PV,,R3102温度指示,DEGC,600,0,TI3132A.PV,RDI_HLU1
339,HLU1_TI3132B_PV,,R3102温度指示,DEGC,600,0,TI3132B.PV,RDI_HLU1
340,HLU1_TI3132C_PV,,R3102温度指示,DEGC,600,0,TI3132C.PV,RDI_HLU1
341,HLU1_TI3132D_PV,,R3102温度指示,DEGC,600,0,TI3132D.PV,RDI_HLU1
342,HLU1_TI3133_PV,,R3102出口温度指示,DEGC,600,0,TI3133.PV,RDI_HLU1
343,HLU1_TI3133W_PV,,R3102出口温度指示,DEGC,600,0,TI3133W.PV,RDI_HLU1
344,HLU1_TI3135_PV,,E3103出口温度指示,DEGC,300,0,TI3135.PV,RDI_HLU1
345,HLU1_TI3136_PV,,D3103出口温度指示,DEGC,400,0,TI3136.PV,RDI_HLU1
346,HLU1_TI3137_PV,,E3103入口温度指示,DEGC,200,0,TI3137.PV,RDI_HLU1
347,HLU1_TI3138_PV,,E3103出口温度指示,DEGC,300,0,TI3138.PV,RDI_HLU1
348,HLU1_TI3139_PV,,D3104出口温度指示,DEGC,300,0,TI3139.PV,RDI_HLU1
349,HLU1_TI3141_PV,,D3104底出口温度指示,DEGC,400,0,TI3141.PV,RDI_HLU1
350,HLU1_TI3142_PV,,A3101入口温度指示,DEGC,300,0,TI3142.PV,RDI_HLU1
351,HLU1_TI3143_PV,,,,99999,-99,TI3143.PV,RDI_HLU1
352,HLU1_TI3143W_PV,,A3101出口温度指示,DEGC,300,0,TI3143W.PV,RDI_HLU1
353,HLU1_TI3144_PV,,E3401出口温度指示,DEGC,300,-20,TI3144.PV,RDI_HLU1
354,HLU1_TI3145_PV,,E3401入口温度指示,DEGC,400,0,TI3145.PV,RDI_HLU1
355,HLU1_TI3146_PV,,D3105出口温度指示,DEGC,300,0,TI3146.PV,RDI_HLU1
356,HLU1_TI3147_PV,,D3106出口温度指示,DEGC,300,0,TI3147.PV,RDI_HLU1
357,HLU1_TI3148_PV,,D3107出口温度指示,DEGC,300,0,TI3148.PV,RDI_HLU1
358,HLU1_TI3149_PV,,K3102入口温度指示,DEGC,300,0,TI3149.PV,RDI_HLU1
359,HLU1_TI3150_PV,,K3102出口温度指示,DEGC,200,0,TI3150.PV,RDI_HLU1
360,HLU1_TI3152_PV,,D3110出口温度指示,DEGC,100,-100,TI3152.PV,RDI_HLU1
361,HLU1_TI3171A_PV,,,,99999,-99,TI3171A.PV,RDI_HLU1
362,HLU1_TI3171B_PV,,,,99999,-99,TI3171B.PV,RDI_HLU1
363,HLU1_TI3171C_PV,,,,99999,-99,TI3171C.PV,RDI_HLU1
364,HLU1_TI3171D_PV,,,,99999,-99,TI3171D.PV,RDI_HLU1
365,HLU1_TI3171E_PV,,,,99999,-99,TI3171E.PV,RDI_HLU1
366,HLU1_TI3171F_PV,,,,99999,-99,TI3171F.PV,RDI_HLU1
367,HLU1_TI3171G_PV,,,,99999,-99,TI3171G.PV,RDI_HLU1
368,HLU1_TI3171H_PV,,,,99999,-99,TI3171H.PV,RDI_HLU1
369,HLU1_TI3172A_PV,,,,99999,-99,TI3172A.PV,RDI_HLU1
370,HLU1_TI3172B_PV,,,,99999,-99,TI3172B.PV,RDI_HLU1
371,HLU1_TI3172C_PV,,,,99999,-99,TI3172C.PV,RDI_HLU1
372,HLU1_TI3172D_PV,,,,99999,-99,TI3172D.PV,RDI_HLU1
373,HLU1_TI3172E_PV,,,,99999,-99,TI3172E.PV,RDI_HLU1
374,HLU1_TI3172F_PV,,,,99999,-99,TI3172F.PV,RDI_HLU1
375,HLU1_TI3172G_PV,,,,99999,-99,TI3172G.PV,RDI_HLU1
376,HLU1_TI3172H_PV,,,,99999,-99,TI3172H.PV,RDI_HLU1
377,HLU1_TI3181_PV,,,,99999,-99,TIA3181.PV,RDI_HLU1
378,HLU1_TI3183_PV,,,,99999,-99,TIA3183.PV,RDI_HLU1
379,HLU1_TI3201_PV,,C3201进料温度指示,DEGC,400,0,TI3201.PV,RDI_HLU1
380,HLU1_TI3203_PV,,C3201塔顶温度指示,DEGC,200,0,TI3203.PV,RDI_HLU1
381,HLU1_TI3204_PV,,A3201出口总管温度,DEGC,100,0,TI3204.PV,RDI_HLU1
382,HLU1_TI3205_PV,,C3201底汽提蒸汽温度指示,DEGC,500,0,TI3205.PV,RDI_HLU1
383,HLU1_TI3206_PV,,C3201底温度指示,DEGC,300,0,TI3206.PV,RDI_HLU1
384,HLU1_TI3207_PV,,E3201壳程出口温度指示,DEGC,100,0,TI3207.PV,RDI_HLU1
385,HLU1_TI3208A_PV,,E3202壳程入口温度指示,DEGC,300,0,TI3208A.PV,RDI_HLU1
386,HLU1_TI3208B_PV,,E3202壳程出口温度指示,DEGC,300,0,TI3208B.PV,RDI_HLU1
387,HLU1_TI3210_PV,,E3211管程入口温度指示,DEGC,400,0,TI3210.PV,RDI_HLU1
388,HLU1_TI3213_PV,,E3208壳程出口温度指示,DEGC,300,0,TI3213.PV,RDI_HLU1
389,HLU1_TI3214_PV,,E3208管程出口温度指示,DEGC,400,0,TI3214.PV,RDI_HLU1
390,HLU1_TI3215_PV,,E3208管程出口温度指示,DEGC,300,0,TI3215.PV,RDI_HLU1
391,HLU1_TI3216_PV,,F3201进料一温度指示,DEGC,400,0,TI3216.PV,RDI_HLU1
392,HLU1_TI3217_PV,,F3201进料二温度指示,DEGC,400,0,TI3217.PV,RDI_HLU1
393,HLU1_TI3218_PV,,F3201进料三温度指示,DEGC,400,0,TI3218.PV,RDI_HLU1
394,HLU1_TI3219_PV,,F3201进料四温度指示,DEGC,400,0,TI3219.PV,RDI_HLU1
395,HLU1_TI3220_PV,,F3201出料一温度指示,DEGC,500,0,TI3220.PV,RDI_HLU1
396,HLU1_TI3221_PV,,F3201出料二温度指示,DEGC,500,0,TI3221.PV,RDI_HLU1
397,HLU1_TI3222_PV,,F3201出料三温度指示,DEGC,500,0,TI3222.PV,RDI_HLU1
398,HLU1_TI3223_PV,,F3201出料四温度指示,DEGC,500,0,TI3223.PV,RDI_HLU1
399,HLU1_TI3225_PV,,F3201出料总管温度指示,DEGC,500,0,TI3225.PV,RDI_HLU1
400,HLU1_TI3226_PV,,C3202进料温度指示,DEGC,500,0,TI3226.PV,RDI_HLU1
401,HLU1_TI3228_PV,,C3202顶温度指示,DEGC,300,0,TI3228.PV,RDI_HLU1
402,HLU1_TI3229_PV,,C3202顶回流温度指示,DEGC,100,0,TI3229.PV,RDI_HLU1
403,HLU1_TI3230_PV,,C3202第25层抽出线温度指示,DEGC,400,0,TI3230.PV,RDI_HLU1
404,HLU1_TI3231_PV,,C3202第26层返回线温度指示,DEGC,400,0,TI3231.PV,RDI_HLU1
405,HLU1_TI3232_PV,,C3202第37层抽出线温度指示,DEGC,400,0,TI3232.PV,RDI_HLU1
406,HLU1_TI3233_PV,,C3202第39层返回线温度指示,DEGC,300,0,TI3233.PV,RDI_HLU1
407,HLU1_TI3234_PV,,C3202第40层抽出线温度指示,DEGC,300,0,TI3234.PV,RDI_HLU1
408,HLU1_TI3235_PV,,C3202第23层返回线温度指示,DEGC,400,0,TI3235.PV,RDI_HLU1
409,HLU1_TI3236_PV,,C3202底蒸汽温度指示,DEGC,500,0,TI3236.PV,RDI_HLU1
410,HLU1_TI3237_PV,,C3202底尾油温度指示,DEGC,500,0,TI3237.PV,RDI_HLU1
411,HLU1_TI3239_PV,,E3213壳程出口温度指示,DEGC,300,0,TI3239.PV,RDI_HLU1
412,HLU1_TI3242_PV,,C3204底出口温度指示,DEGC,400,0,TI3242.PV,RDI_HLU1
413,HLU1_TI3243_PV,,C3203底出口温度指示,DEGC,400,0,TI3243.PV,RDI_HLU1
414,HLU1_TI3244_PV,,E3204壳程入口温度指示,DEGC,400,0,TI3244.PV,RDI_HLU1
415,HLU1_TI3246_PV,,E3205壳程出口温度指示,DEGC,400,0,TI3246.PV,RDI_HLU1
416,HLU1_TI3249_PV,,A3204出口总管温度指示,DEGC,100,0,TI3249.PV,RDI_HLU1
417,HLU1_TI3250_PV,,航煤出装置温度指示,DEGC,100,0,TI3250.PV,RDI_HLU1
418,HLU1_TI3251_PV,,柴油出装置温度指示,DEGC,100,0,TI3251.PV,RDI_HLU1
419,HLU1_TI3252_PV,,尾油出装置温度指示,DEGC,100,0,TI3252.PV,RDI_HLU1
420,HLU1_TI3253_PV,,尾油出装置温度,DEGC,100,0,TI3253.PV,RDI_HLU1
421,HLU1_TI3254_PV,,尾油产品出装置温度指示,DEGC,100,0,TI3254.PV,RDI_HLU1
422,HLU1_TI3256_PV,,C3205进料温度指示,DEGC,300,0,TI3256.PV,RDI_HLU1
423,HLU1_TI3258_PV,,C3205顶出口温度指示,DEGC,300,0,TI3258.PV,RDI_HLU1
424,HLU1_TI3259_PV,,C3205第24层温度指示,DEGC,300,0,TI3259.PV,RDI_HLU1
425,HLU1_TI3260_PV,,C3205第22层温度指示,DEGC,300,0,TI3260.PV,RDI_HLU1
426,HLU1_TI3261_PV,,C3205第20层温度指示,DEGC,300,0,TI3261.PV,RDI_HLU1
427,HLU1_TI3262_PV,,C3205底温度指示,DEGC,300,0,TI3262.PV,RDI_HLU1
428,HLU1_TI3264_PV,,E3207出口温度指示,DEGC,300,0,TI3264.PV,RDI_HLU1
429,HLU1_TI3265_PV,,C3205底出口温度指示,DEGC,300,0,TI3265.PV,RDI_HLU1
430,HLU1_TI3266_PV,,E3206管程出口温度指示,DEGC,200,0,TI3266.PV,RDI_HLU1
431,HLU1_TI3267_PV,,E3206管程入口温度指示,DEGC,300,0,TI3267.PV,RDI_HLU1
432,HLU1_TI3268_PV,,E3207管程入口温度指示,DEGC,400,0,TI3268.PV,RDI_HLU1
433,HLU1_TI3269_PV,,E3207管程出口温度指示,DEGC,400,0,TI3269.PV,RDI_HLU1
434,HLU1_TI3271_PV,,D3203底出口温度指示,DEGC,100,0,TI3271.PV,RDI_HLU1
435,HLU1_TI3272_PV,,轻石脑油出装置温度指示,DEGC,100,0,TI3272.PV,RDI_HLU1
436,HLU1_TI3274_PV,,重石脑油出装置温度指示,DEGC,100,0,TI3274.PV,RDI_HLU1
437,HLU1_TI3281_PV,,,,99999,-99,TI3281.PV,RDI_HLU1
438,HLU1_TI3282_PV,,E3202A/B出口温度,DEGC,400,0,TI3282.PV,RDI_HLU1
439,HLU1_TI3283_PV,,,,99999,-99,TI3283.PV,RDI_HLU1
440,HLU1_TI3284_PV,,,,99999,-99,TI3284.PV,RDI_HLU1
441,HLU1_TI3303_PV,,D3303出口温度指示(参与FIQ3304温压补偿),DEGC,200,0,TI3303.PV,RDI_HLU1
442,HLU1_TI3401_PV,,高压瓦斯温度指示,DEGC,100,0,TI3401.PV,RDI_HLU1
443,HLU1_TI3402_PV,,3.5MPa蒸汽入装置温度指示,DEGC,600,0,TI3402.PV,RDI_HLU1
444,HLU1_TI3403_PV,,D3407出口1.0MPa蒸汽温度指示,DEGC,600,0,TI3403.PV,RDI_HLU1
445,HLU1_TI3404_PV,,D3404入口蒸汽温度指示,DEGC,500,0,TI3404.PV,RDI_HLU1
446,HLU1_TI3407_PV,,采暖热水进装置温度指示,DEGC,200,0,TI3407.PV,RDI_HLU1
447,HLU1_TI3408_PV,,除盐水温度指示,DEGC,100,0,TI3408.PV,RDI_HLU1
448,HLU1_TI3409_PV,,低压瓦斯出装置温度指示,DEGC,100,0,TI3409.PV,RDI_HLU1
449,HLU1_TI3410_PV,,循环冷水进装置温度指示,DEGC,100,0,TI3410.PV,RDI_HLU1
450,HLU1_TI3411_PV,,循环热水进装置温度指示,DEGC,100,0,TI3411.PV,RDI_HLU1
451,HLU1_TI3415_PV,,D3410温度指示,DEGC,200,0,TI3415.PV,RDI_HLU1
452,HLU1_TI3501_PV,,F3101温度指示,DEGC,600,0,TI3501.PV,RDI_HLU1
453,HLU1_TI3502_PV,,F-3101西炉膛北侧温度指示,DEGC,900,0,TI3502.PV,RDI_HLU1
454,HLU1_TI3503_PV,,F-3101西炉膛南侧温度指示,DEGC,900,0,TI3503.PV,RDI_HLU1
455,HLU1_TI3504_PV,,F3101温度指示,DEGC,600,0,TI3504.PV,RDI_HLU1
456,HLU1_TI3505_PV,,F-3101东炉膛北侧温度指示,DEGC,900,0,TI3505.PV,RDI_HLU1
457,HLU1_TI3506_PV,,F-3101东炉膛南侧温度指示,DEGC,900,0,TI3506.PV,RDI_HLU1
458,HLU1_TI3507_PV,,F3201温度指示,DEGC,600,0,TI3507.PV,RDI_HLU1
459,HLU1_TI3508_PV,,F3201温度指示,DEGC,900,0,TI3508.PV,RDI_HLU1
460,HLU1_TI3509_PV,,F3201温度指示,DEGC,900,0,TI3509.PV,RDI_HLU1
461,HLU1_TI3510_PV,,预热器空气出口温度指示,DEGC,400,0,TI3510.PV,RDI_HLU1
462,HLU1_TI3511_PV,,预热器空气入口温度指示,DEGC,100,0,TI3511.PV,RDI_HLU1
463,HLU1_TI3512_PV,,预热器烟气入口温度指示,DEGC,500,0,TI3512.PV,RDI_HLU1
464,HLU1_TI3513_PV,,预热器烟气出口温度指示,DEGC,300,0,TI3513.PV,RDI_HLU1
465,HLU1_TIC3110_PV,,D-3103入口温度,DEGC,500,0,TIC3110.PV,RDI_HLU1
466,HLU1_TIC3115_PV,,F3101出口西侧温度调节,DEGC,600,0,TIC3115.PV,RDI_HLU1
467,HLU1_TIC3116_PV,,F3101出口东侧温度调节,DEGC,600,0,TIC3116.PV,RDI_HLU1
468,HLU1_TIC3121_PV,,R3101第二床层入口温度控制,DEGC,600,0,TIC3121.PV,RDI_HLU1
469,HLU1_TIC3125_PV,,R3102入口温度控制,DEGC,600,0,TIC3125.PV,RDI_HLU1
470,HLU1_TIC3127_PV,,R3102第二床层入口温度控制,DEGC,600,0,TIC3127.PV,RDI_HLU1
471,HLU1_TIC3129_PV,,R3102第三床层入口温度控制,DEGC,600,0,TIC3129.PV,RDI_HLU1
472,HLU1_TIC3131_PV,,R3102第四床层入口温度控制,DEGC,600,0,TIC3131.PV,RDI_HLU1
473,HLU1_TIC3140_PV,,,,99999,-99,TIC3140.PV,RDI_HLU1
474,HLU1_TIC3143_PV,,A3101出口温度控制,DEGC,300,0,TIC3143.PV,RDI_HLU1
475,HLU1_TIC3182_PV,,,,99999,-99,TICA3182.PV,RDI_HLU1
476,HLU1_TIC3202_PV,,脱气塔顶温度控制,DEGC,200,0,TIC3202.PV,RDI_HLU1
477,HLU1_TIC3224_PV,,分馏炉出口温度控制,DEGC,500,0,TIC3224.PV,RDI_HLU1
478,HLU1_TIC3227_PV,,C3202顶温度调节,DEGC,300,0,TIC3227.PV,RDI_HLU1
479,HLU1_TIC3238_PV,,E3213壳程出口温度调节,DEGC,300,0,TIC3238.PV,RDI_HLU1
480,HLU1_TIC3248_PV,,,,200,-50,TIC3248.PV,RDI_HLU1
481,HLU1_TIC3255_PV,,C3205进料温度调节,DEGC,300,0,TIC3255.PV,RDI_HLU1
482,HLU1_TIC3257_PV,,石脑油塔顶温度控制,DEGC,300,0,TIC3257.PV,RDI_HLU1
483,HLU1_TIC3263_PV,,E3207出口温度调节（与FIC3225串级的主回路）,DEGC,300,0,TIC3263.PV,RDI_HLU1
484,HLU1_TIC3273_PV,,A3207出口温度指示,DEGC,100,-10,TIC3273.PV,RDI_HLU1
485,HLU1_TICA3248_PV,,,,200,-50,TICA3248.PV,RDI_HLU1
486,HLU1_TICA3270_PV,,A3203出口温度指示,DEGC,400,0,TICA3270.PV,RDI_HLU1
487,HLU1_TJ3147_PV,,,,99999,-99,TJ3147.PV,RDI_HLU1
488,HLU1_TXI3153_PV,,R3101表面温度指示,DEGC,600,0,TXI3153.PV,RDI_HLU1
489,HLU1_TXI3154A_PV,,R3101表面温度指示,DEGC,600,0,TXI3154A.PV,RDI_HLU1
490,HLU1_TXI3154B_PV,,R3101表面温度指示,DEGC,600,0,TXI3154B.PV,RDI_HLU1
491,HLU1_TXI3154C_PV,,R3101表面温度指示,DEGC,600,0,TXI3154C.PV,RDI_HLU1
492,HLU1_TXI3154D_PV,,R3101表面温度指示,DEGC,600,0,TXI3154D.PV,RDI_HLU1
493,HLU1_TXI3155A_PV,,R3101表面温度指示,DEGC,600,-100,TXI3155A.PV,RDI_HLU1
494,HLU1_TXI3155B_PV,,R3101表面温度指示,DEGC,600,0,TXI3155B.PV,RDI_HLU1
495,HLU1_TXI3156A_PV,,R3101表面温度指示,DEGC,600,0,TXI3156A.PV,RDI_HLU1
496,HLU1_TXI3156B_PV,,R3101表面温度指示,DEGC,600,0,TXI3156B.PV,RDI_HLU1
497,HLU1_TXI3156C_PV,,R3101表面温度指示,DEGC,600,0,TXI3156C.PV,RDI_HLU1
498,HLU1_TXI3156D_PV,,R3101表面温度指示,DEGC,600,0,TXI3156D.PV,RDI_HLU1
499,HLU1_TXI3157_PV,,R3101表面温度指示,DEGC,600,0,TXI3157.PV,RDI_HLU1
500,HLU1_TXI3158A_PV,,R3101表面温度指示,DEGC,600,0,TXI3158A.PV,RDI_HLU1
501,HLU1_TXI3158B_PV,,R3101表面温度指示,DEGC,600,0,TXI3158B.PV,RDI_HLU1
502,HLU1_TXI3158C_PV,,R3101表面温度指示,DEGC,600,0,TXI3158C.PV,RDI_HLU1
503,HLU1_TXI3159_PV,,R3101表面温度指示,DEGC,600,0,TXI3159.PV,RDI_HLU1
504,HLU1_TXI3160_PV,,R3102表面温度指示,DEGC,600,0,TXI3160.PV,RDI_HLU1
505,HLU1_TXI3161A_PV,,R3102表面温度指示,DEGC,600,0,TXI3161A.PV,RDI_HLU1
506,HLU1_TXI3161B_PV,,R3102表面温度指示,DEGC,600,0,TXI3161B.PV,RDI_HLU1
507,HLU1_TXI3161C_PV,,R3102表面温度指示,DEGC,600,0,TXI3161C.PV,RDI_HLU1
508,HLU1_TXI3161D_PV,,R3102表面温度指示,DEGC,600,0,TXI3161D.PV,RDI_HLU1
